id,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Latitude,Longitude,Subgroup,Family
0,South Italian,Italy,ITA,nap,Vulnerable,Neapolitan; Neapolitan-Calabrese; неаполитанский; неаполитанско-калабрийский,,7500000.0,40.9798,15.249,,
1,Sicilian,Italy,ITA,scn,Vulnerable,,,5000000.0,37.4399,14.5019,,
2,Low Saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation","DEU, DNK, NLD, POL, RUS","act, drt, frs, gos, nds, sdz, stl, twd, vel, wep",Vulnerable,"Low German, Niedersächsisch, Nedersaksisch, Niederdeutsch, Plattdeutsch ",Neddersassisch,4800000.0,53.4029,10.3601,,
3,Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine","BRB, LVA, LTU, POL, RUS, UKR",bel,Vulnerable,,,4000000.0,53.956,27.5756,,
4,Lombard,"Italy, Switzerland","ITA, CHE",lmo,Definitely endangered,,,3500000.0,45.7215,9.3273,,
5,Romani,"Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro","ALB, DEU, AUT, BRB, BIH, BGR, HRV, EST, FIN, FRA, GRC, HUN, ITA, LVA, LTU, MKD, NLD, POL, ROU, GBR, RUS, SVK, SVN, CHE, CZE, TUR, UKR, SRB, MNE","rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",,3500000.0,46.3165,22.3681,,
6,Yiddish (Israel),Israel,ISR,ydd,Definitely endangered,Judeo-German,,3000000.0,32.0833,34.8333,,
7,Gondi,India,IND,gon,Vulnerable,"Gondi; Gaudi; Gondiva; Gondwadi; Goondile; Goudwal; Ghond; Godi; Gondu; Goudi
",,2713790.0,19.5804,80.4418,,
8,Limburgian-Ripuarian,"Germany, Belgium, Netherlands","DEU, BEL, NLD","ksh, lim",Vulnerable,Colognian (dialect; in German: Kölsch),,2600000.0,50.7781,6.0864,,
9,Quechua of Southern Bolivia,Bolivia (Plurinational State of),BOL,quh,Vulnerable,,,2300000.0,-18.0675,-65.7641,,
10,Kumaoni,"India, Nepal","IND, NPL",kfy,Vulnerable,Kumauni; Kamaoni; Kumau; Kumawani; Kumgoni,,2003783.0,29.4778,79.8486,,
11,Aymara,"Bolivia (Plurinational State of), Chile, Peru","BOL, CHL, PER","ayc, ayr",Vulnerable,"Aimara, Jaqi Aru, Southern Aymara.",,2000000.0,-16.5835,-68.30199999999999,,
12,Emilian-Romagnol,"Italy, San Marino","ITA, SMR",eml,Definitely endangered,,,2000000.0,44.126999999999995,12.0739,,
13,Piedmontese,Italy,ITA,pms,Definitely endangered,,,2000000.0,45.2013,7.8662,,
14,Venetan,"Croatia, Italy, Slovenia","HRV, ITA, SVN",vec,Vulnerable,,,2000000.0,45.4601,12.1948,,
15,Zazaki,Turkey,TUR,zza,Vulnerable,Zaza; Dimli; Kirmanjki,,2000000.0,38.8824,40.4846,,
16,Kurux (India),India,IND,kru,Vulnerable,Kurukh; Oraon,,1751489.0,22.1467,85.2758,,
17,Tamajeq,Niger,NER,thz,Vulnerable,,,1750000.0,17.2352,8.0859,,
18,Tulu,India,IND,tcy,Vulnerable,"Tuluva Bhasa; Tullu; Thulu; Tal; Tilu; Thalu
",,1722768.0,12.0178,75.7067,,
19,Kangdi,India,IND,xnr,Definitely endangered,Dogaryali; Dogri Pahari;  Tokkaru; Dogri-Kangra; Bhatbali; Bhatbali; East Dogri; Kangri; Kangra,,1700000.0,32.4356,76.1242,,
20,Scots,United Kingdom of Great Britain and Northern Ireland,GBR,sco,Vulnerable,Lallans; Northumbrian (local name in England),,1500000.0,56.2189,-3.7683,,
21,Torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia","ALB, BGR, MKD, ROU, SRB","bos, hrv, srp",Vulnerable,"Shop; dialects: Goran, Janjev, Krashovan",,1500000.0,42.9644,22.1374,,
22,West Flemish,"Belgium, France, Netherlands","BEL, FRA, NLD","vls, zea",Vulnerable,Western Flemish; Zeelandic (Zeêuws),,1500000.0,51.0275,3.0541,,
23,Bashkir,Russian Federation,RUS,bak,Vulnerable,Bashkort,,1379727.0,54.7309,55.9863,,
24,Chechen,Russian Federation,RUS,che,Vulnerable,,,1331844.0,43.1971,45.7031,,
25,Chuvash,Russian Federation,RUS,chv,Vulnerable,,,1325382.0,56.1394,47.2412,,
26,Meithei,India,IND,mni,Vulnerable,"Manipuri, Meitei",,1250000.0,24.7667,93.8946,,
27,Tamang,"India, Nepal","IND, NPL","taj, tge, tmk, tsf, tdg",Vulnerable,तामाङ; तामाङ्ग; Murmi (obsolete),,1196639.0,27.7365,85.6858,,
28,Quechua of Cuzco,Peru,PER,quz,Vulnerable,Quechua Cuzco-Collao,,1115000.0,-13.4537,-72.0098,,
29,Eastern Slovak,"Slovakia, Ukraine","SVK, UKR",slk,Vulnerable,,,1000000.0,48.8068,21.7968,,
30,Ligurian,"France, Italy, Monaco","FRA, ITA, MCO",lij,Definitely endangered,Monégasque (dialect),,1000000.0,44.5748,8.7011,,
31,Rusyn,"Hungary, Poland, Romania, Slovakia, Ukraine","HUN, POL, ROU, SVK, UKR",rue,Vulnerable,"Ruthenian, Carpatho-Rusyn. Dialects: Lemko (Lemke), Boyko, Hutzulian",,1000000.0,48.4437,22.9394,,
32,Talysh,"Azerbaijan, Iran (Islamic Republic of)","AZE, IRN",tly,Vulnerable,,,1000000.0,38.814,48.6804,,
33,Kui,India,IND,kxu,Vulnerable,"Kuy; Kandh; Khondi; Khond(o); Kodu; Kanda; Kodulu
",,916222.0,19.5908,83.9575,,
34,Khasi,India,IND,kha,Vulnerable,,,912000.0,25.691,91.8676,,
35,Bodo,India,IND,brx,Vulnerable,"Boro, Kachari",,900000.0,26.7554,92.8674,,
36,Campidanese,Italy,ITA,sro,Definitely endangered,Campidanese Sardinian,,900000.0,39.2991,8.9868,,
37,K'iche' (Guatemala),Guatemala,GTM,quc,Vulnerable,"Chiquel, Cachbel, Chuil quiché, cunenteco, Cantel Quiché, Quiché",,890596.0,15.0309,-91.1485,,
38,Quechua of Ayacucho,Peru,PER,quy,Definitely endangered,Quechua Ayacucho-Chanka. Chanka (Quechua).,,850000.0,-13.1276,-74.2071,,
39,Newar,Nepal,NPL,new,Definitely endangered,नेवार; Nepal Bhasa; Newari,,825458.0,27.6981,85.3198,,
40,Mon,"Myanmar, Thailand","MMR, THA",mnw,Vulnerable,Talaing,,800000.0,16.4666,97.7833,,
41,Tamaceq,Mali,MLI,taq,Definitely endangered,"Tamacheq, Tamasheq",,800000.0,16.7992,-3.0102,,
42,Avar,Russian Federation,RUS,ava,Vulnerable,,,784840.0,42.4801,46.8017,,
43,Mundari,India,IND,muw,Vulnerable,Horo,,750000.0,22.3297,86.0449,,
44,Welsh,United Kingdom of Great Britain and Northern Ireland,GBR,cym,Vulnerable,y Gymraeg,Cymraeg,750000.0,52.4459,-3.5485,,
45,Angika,"India, Nepal","IND, NPL",anp,Vulnerable,Chhika-Chhiki; Anga; Aangi; Bhagalpuri,,740892.0,24.7451,85.3124,,
46,Q'eqchi' (Guatemala),Guatemala,GTM,kek,Vulnerable,"K'eqchí, Ketchí, Cacché, Quecchí",,716101.0,15.4707,-90.3722,,
47,Picard,"Belgium, France","BEL, FRA",pcd,Severely endangered,"ch’ti, ch’timi, rouchi",,700000.0,50.2331,2.7905,,
48,Kokborok,"Bangladesh, India","BGD, IND",trp,Vulnerable,Tripuri,,695000.0,23.7752,91.6918,,
49,Basque,"Spain, France","ESP, FRA",eus,Vulnerable,,euskara,660000.0,43.133,-2.0764,,
50,Kabard-Cherkes,"Russian Federation, Turkey","RUS, TUR",kbd,Vulnerable,Kabardian,,650000.0,43.7393,43.4289,,
51,Mandeali,India,IND,mjl,Definitely endangered,Mandi; Mandiali; Pahari Mandiyali,,611930.0,31.4099,76.9921,,
52,Friulian,Italy,ITA,fur,Definitely endangered,,,600000.0,46.1037,13.1396,,
53,Quechua of Ancash and Huánuco,Peru,PER,"qec, qed, qee, qan, qei, qub, qej, qel, qem",Definitely endangered,"Quechua, Nunashimi. Quechua Ancash-Huánuco. Huaylas Quechua.",,600000.0,-9.4598,-77.1789,,
