Language,Code,Subgroup,Family
Abipon,axb,Mataco-Guaycuru,Mataco-Guaycuru
Abishira,ash,Unclassified,Unclassified
"Abnaki, Eastern",aaq,Eastern Algonquian,Algic
Acroá,acs,Central Ge,Macro-Ge
Adai,xad,Unclassified,Unclassified
Aequian,xae,Unclassified Italic,Indo-European
Aghu Tharnggalu,ggr,Rarmul Pama,Australian
Aghwan,xag,Udi,East Caucasian
"Agta, Dicamay",duy,Northern Dumagat,Austronesian
Aguano,aga,Unclassified,Unclassified
Ahom,aho,Northwest Southwestern Tai,Tai-Kadai
Ajawa,ajw,West Chadic B.2,Afroasiatic
Aka-Bea,abj,Central Great Andamanese,Andamanese
Aka-Bo,akm,Northern Great Andamanese,Andamanese
Aka-Cari,aci,Northern Great Andamanese,Andamanese
Aka-Jeru,akj,Northern Great Andamanese,Andamanese
Aka-Kede,akx,Central Great Andamanese,Andamanese
Aka-Kol,aky,Central Great Andamanese,Andamanese
Aka-Kora,ack,Northern Great Andamanese,Andamanese
Akar-Bale,acl,Central Great Andamanese,Andamanese
Akkadian,akk,East Semitic,Afroasiatic
Alanic,xln,Iranian,Indo-European
"Algonquian, Carolina",crr,Algonquian,Algic
Alsea,aes,Yakonan,Penutian
Ammonite,qgg,Canaanite,Afroasiatic
Andaqui,ana,Andaqui,Barbacoan
Andoa,anb,Zaparoan,Zaparoan
Anglo-Norman,xno,French,Indo-European
Anserma,ans,Choco,Choco
Apalachee,xap,Unclassified Muskogean,Muskogean
Aquitanian,xaq,Basque,Basque
"Arabic, Andalusian",xaa,Arabic,Afroasiatic
"Aramaic, Jewish Babylonian",tmr,Northeastern Central Eastern Aramaic,Afroasiatic
"Aramaic, Jewish Palestinian",jpa,Western Aramaic,Afroasiatic
"Aramaic, Official",arc,Aramaic,Afroasiatic
"Aramaic, Old",oar,Aramaic,Afroasiatic
"Aramaic, Samaritan",sam,Western Aramaic,Afroasiatic
Aranama-Tamique,xrt,Unclassified,Unclassified
"Arára, Mato Grosso",axg,Unclassified,Unclassified
Aribwatsa,laz,Busu,Austronesian
Arikem,ait,Arikem,Tupi
Arin,xrn,Yenisei Ostyak,Yenisei Ostyak
Arma,aoh,Choco,Choco
Armazic,xrm,Aramaic,Afroasiatic
"Armenian, Classical",xcl,Armenian,Indo-European
"Armenian, Middle",axm,Armenian,Indo-European
Aruá,aru,Arauan,Arauan
Assan,xss,Yenisei Ostyak,Yenisei Ostyak
Atakapa,aqp,Gulf,Gulf
Atsahuaca,atc,North-Central Panoan,Panoan
Aushiri,avs,Zaparoan,Zaparoan
Auyokawa,auo,West Chadic B.1,Afroasiatic
"Avar, Old",oav,Avar,East Caucasian
Avestan,ave,Northeast Eastern Iranian,Indo-European
Awabakal,awk,Worimi,Australian
"Ayta, Tayabas",ayy,Central Philippine,Austronesian
Bactrian,xbc,Eastern Iranian,Indo-European
Baga Kaloum,bqf,Baga,Niger-Congo
Baga Sobané,bsv,Baga,Niger-Congo
Banggarla,bjb,Yura,Australian
Baniva,bvv,Inland Northern Maipuruan,Arawakan
Barbacoas,bpb,Pasto,Barbacoan
Barbareño,boi,Chumash,Chumash
Baré,bae,Inland Northern Maipuruan,Arawakan
Basa-Gumna,bsl,Basa,Niger-Congo
Basay,byq,Northern East Formosan,Austronesian
Bayali,bjy,Kingkel,Australian
Baygo,byg,Western Daju,Nilo-Saharan
Beothuk,bue,Unclassified,Unclassified
Berti,byt,Eastern Saharan,Nilo-Saharan
Biloxi,bll,Biloxi-Ofo,Siouan
Bina,bmn,Magoric,Austronesian
Biri,bzr,Maric,Australian
Birked,brk,Birked,Nilo-Saharan
Bolgarian,xbo,Bolgar,Altaic
"Breton, Middle",xbm,Brittonic,Indo-European
"Breton, Old",obt,Brittonic,Indo-European
"Burmese, Old",obr,Southern Burmish,Sino-Tibetan
Cacaopera,ccr,Misumalpan,Misumalpan
Cagua,cbh,Unclassified,Unclassified
Camunic,xcc,Unclassified,Unclassified
Canichana,caz,Language Isolate,Language Isolate
Caramanta,crf,Choco,Choco
Carian,xcr,Anatolian,Indo-European
"Carib, Island",crb,Caribbean,Arawakan
Catawba,chc,Catawba,Siouan
Cauca,cca,Choco,Choco
Cayubaba,cyb,Language Isolate,Language Isolate
Cayuse,xcy,Unclassified,Unclassified
Celtiberian,xce,Hispanic Celtic,Indo-European
Chagatai,chg,Eastern Turkic,Altaic
Chané,caj,Unclassified Arawakan,Arawakan
Chibcha,chb,Chibchan Proper,Chibchan
Chicomuceltec,cob,Huastecan,Mayan
Chimakum,xch,Chimakuan,Chimakuan
Chimakum,cmk,Chimakuan,Chimakuan
Chimariko,cid,Northern Hokan,Hokan
"Chinese, Late Middle",ltc,Chinese,Sino-Tibetan
"Chinese, Old",och,Chinese,Sino-Tibetan
Chipiajes,cbe,Unclassified,Unclassified
Chitimacha,ctm,Gulf,Gulf
Cholón,cht,Hibito-Cholon,Hibito-Cholon
Chorasmian,xco,Eastern Iranian,Indo-European
Chorotega,cjr,Chiapanec-Mangue,Oto-Manguean
Chumash,chs,Chumash,Chumash
Chuvantsy,xcv,Yukaghir,Yukaghir
Coahuilteco,xcw,Coahuiltecan,Coahuiltecan
Cochimi,coj,Cochimi,Hokan
Comecrudo,xcm,Coahuiltecan,Coahuiltecan
Coptic,cop,Egyptian,Afroasiatic
Coquille,coq,Tolowa-Galice,Na-Dene
"Cornish, Middle",cnx,Brittonic,Indo-European
"Cornish, Old",oco,Brittonic,Indo-European
Cotoname,xcn,Coahuiltecan,Coahuiltecan
Coxima,kox,Unclassified,Unclassified
Coyaima,coy,Coastal Carib,Carib
"Creole Dutch, Skepi",skw,Dutch based,Creole
Cruzeño,crz,Chumash,Chumash
Cumanagoto,cuo,Coastal Carib,Carib
Cumbric,xcb,Brittonic,Indo-European
Cumeral,cum,Unclassified Arawakan,Arawakan
Curonian,xcu,Western Baltic,Indo-European
Dacian,xdc,Thracian,Indo-European
Dagoman,dgn,Yangmanic,Australian
Dalmatian,dlm,Italo-Dalmatian,Indo-European
Deir Alla,xdr,Unclassified Central Semitic,Afroasiatic
"Delaware, Pidgin",dep,Amerindian Pidgin,Pidgin
Dhurga,dhu,Yuin,Australian
Dieri,dif,Karna,Australian
Dororo,drr,Kazukuru,East Papuan
Duli,duz,Duli,Niger-Congo
Dura,drq,West Bodish,Sino-Tibetan
"Dutch, Middle",dum,Low Franconian,Indo-European
"Dutch, Old",odt,Low Franconian,Indo-European
Eblan,xeb,East Semitic,Afroasiatic
Edomite,xdm,Canaanite,Afroasiatic
Egyptian,egy,Egyptian,Afroasiatic
Elamite,elx,Unclassified,Unclassified
Elymian,xly,Unclassified Indo-European,Indo-European
Emok,emo,Mascoian,Mascoian
"English, Middle",enm,English,Indo-European
"English, Old",ang,English,Indo-European
Epi-Olmec,xep,Zoque,Mixe-Zoque
Esselen,esq,Esselen,Hokan
Esuma,esm,Unclassified Kwa,Niger-Congo
Etchemin,etc,Unclassified Algic,Algic
Eteocretan,ecr,Unclassified,Unclassified
Eteocypriot,ecy,Unclassified,Unclassified
Etruscan,ett,Tyrrhenian,Tyrrhenian
Faliscan,xfa,Latino-Faliscan,Indo-European
Frankish,frk,German,Indo-European
"French, Middle",frm,French,Indo-European
"French, Old",fro,French,Indo-European
"Frisian, Old",ofs,Frisian,Indo-European
Gabrielino-Fernandeño,xgf,Serrano-Gabrielino,Uto-Aztecan
"Gaelic, Hiberno-Scottish",ghc,Goidelic,Indo-European
Gafat,gft,Outer South Ethiopian n-Group,Afroasiatic
Galatian,xga,Continental Celtic,Indo-European
Galice,gce,Tolowa-Galice,Na-Dene
Galindan,xgl,Western Baltic,Indo-European
Gamo-Ningi,bte,Jera,Niger-Congo
Gangulu,gnl,Maric,Australian
Garza,xgr,Coahuiltecan,Coahuiltecan
"Gaulish, Cisalpine",xcg,Continental Celtic,Indo-European
"Gaulish, Transalpine",xtg,Continental Celtic,Indo-European
Geez,gez,North Ethiopian,Afroasiatic
"Georgian, Old",oge,Georgian,Kartvelian
"German, Middle High",gmh,German,Indo-European
"German, Middle Low",gml,Low Saxon,Indo-European
"German, Old High",goh,High German,Indo-European
Gey,guv,Gueve,Niger-Congo
Ghomara,gho,Ghomara,Afroasiatic
Gothic,got,East Germanic,Indo-European
"Greek, Ancient",grc,Greek,Indo-European
"Greek, Cappadocian",cpg,Attic,Indo-European
"Greek, Mycenaean",gmy,Greek,Indo-European
Guana,gqn,Bolivia-Parana,Arawakan
Guanche,gnc,Guanche,Afroasiatic
Gugu Warra,wrw,Mbariman,Australian
Gule,gly,Koman,Nilo-Saharan
Guliguli,gli,Kazukuru,East Papuan
Gureng Gureng,gnr,Than,Australian
Guyani,gvy,Yura,Australian
Hadrami,xhd,South Arabian,Afroasiatic
Harami,xha,South Arabian,Afroasiatic
Hattic,xht,Unclassified,Unclassified
"Hebrew, Ancient",hbo,Canaanite,Afroasiatic
Hermit,llf,West Manus,Austronesian
Hernican,xhr,Oscan,Indo-European
Hibito,hib,Hibito-Cholon,Hibito-Cholon
Hittite,hit,Anatolian,Indo-European
"Hittite, Middle",htx,Anatolian,Indo-European
"Hittite, Neo-",nei,Anatolian,Indo-European
"Hittite, Old",oht,Anatolian,Indo-European
Homa,hom,Bira-Huku (D.30),Niger-Congo
Horo,hor,Sara Proper,Nilo-Saharan
"Hungarian, Old",ohu,Hungarian,Uralic
Hunnic,xhc,Unclassified,Unclassified
Hurrian,xhu,Hurro-Urartean,Hurro-Urartean
Iberian,xib,Unclassified,Unclassified
Ifo,iff,Bieria-Maii,Austronesian
Illyrian,xil,Illyrian,Indo-European
Indus Valley Language,xiv,Unclassified,Unclassified
Ineseño,inz,Chumash,Chumash
Iowa-Oto,iow,Chiwere,Siouan
"Irish, Middle",mga,Goidelic,Indo-European
"Irish, Old",sga,Goidelic,Indo-European
Itene,ite,Guapore,Chapacura-Wanham
"Japanese, Old",ojp,Japanese,Japonic
Jorá,jor,Guarayu-Siriono-Jora (II),Tupi
Jurchen,juc,Southwest Tungus,Altaic
Kaimbé,xai,Unclassified,Unclassified
Kakauhua,kbf,Alacalufan,Alacalufan
"Kalapuya, Northern",nrt,Kalapuyan,Penutian
"Kalapuya, Southern",sxk,Kalapuyan,Penutian
Kalarko,kba,Mirning,Australian
Kalkutung,ktg,Galgadungic,Australian
Kamakan,vkm,Kamakan,Macro-Ge
Kamas,xas,Samoyed,Uralic
Kamba,xba,Unclassified,Unclassified
Kambiwá,xbw,Unclassified,Unclassified
Kaniet,ktk,Western Admiralty Islands,Austronesian
Kanoé,kxo,Tupari,Tupi
Kapinawá,xpn,Unclassified,Unclassified
Kara,,Unclassified,Unclassified
Kara,zra,Unclassified,Unclassified
Karakhanid,xqa,Aralo-Caspian,Altaic
Karami,xar,Minanibai,Trans-New Guinea
Karankawa,zkk,Hokan,Hokan
Karipúna,kgm,Kawahib (VI),Tupi
Karirí-Xocó,kzw,Unclassified,Unclassified
Kariyarra,vka,Coastal Ngayarda,Australian
Karkin,krb,Costanoan,Penutian
Kaskean,zsk,Unclassified,Unclassified
Katabaga,ktq,Unclassified Malayo-Polynesian,Austronesian
Kaurna,zku,Yura,Australian
Kawi,kaw,Javanese,Austronesian
Kazukuru,kzk,Kazukuru,East Papuan
Kepkiriwát,kpn,Tupari,Tupi
Ketangalan,kae,Unclassified Austronesian,Austronesian
Khazar,zkz,Bolgar,Altaic
Khorezmian,zkh,Turkic,Altaic
Kitan,zkt,Mongolian,Altaic
Kitsai,kii,Kitsai,Caddoan
Knaanic,czk,Czech-Slovak,Indo-European
Koguryo,zkg,Unclassified,Unclassified
Koibal,zkb,Samoyed,Uralic
"Korean, Middle",okm,Korean,Korean
"Korean, Old",oko,Korean,Korean
Kott,zko,Yenisei Ostyak,Yenisei Ostyak
Kpati,koc,Ngemba,Niger-Congo
Krevinian,zkv,Finnic,Uralic
Kubi,kof,Bole Proper,Afroasiatic
Kulon-Pazeh,uun,Paiwanic,Austronesian
Kuman,qwm,Ponto-Caspian,Altaic
Kungarakany,ggk,Gungaraganyan,Australian
Kunza,kuz,Unclassified,Unclassified
Kusunda,kgg,Chepang,Sino-Tibetan
Kwadi,kwz,Kwadi,Khoisan
Kw'adza,wka,South Cushitic,Afroasiatic
Kwalhioqua-Tlatskanai,qwt,Athapaskan,Na-Dene
Langobardic,lng,Upper German,Indo-European
Latin,lat,Latin Subgroup,Indo-European
Laurentian,lre,Northern Iroquoian,Iroquoian
